date.time	NTU
43148.8647	0.066
43148.86471	0.074
43148.86472	0.066
43148.86473	0.066
43148.87504	0.081
43148.87506	0.096
43148.87507	0.052
43148.87508	0.081
43148.87509	0.066
43148.8751	0.074
43148.88554	0.074
43148.88555	0.074
43148.88556	0.074
43148.89587	0.052
43148.89589	0.088
43148.8959	0.074
43148.89591	0.081
43148.89592	0.059
43148.89593	0.096
43148.89595	0.096
43148.89596	0.081
43148.90638	0.059
43148.90639	0.081
43148.9064	0.066
43148.91671	0.066
43148.91672	0.066
43148.91673	0.081
43148.91675	0.081
43148.91676	0.074
43148.91677	0.066
43148.91678	0.037
43148.91679	0.074
43148.9168	0.081
43148.93754	0.059
43148.93756	0.081
43148.93757	0.059
43148.93758	0.066
43148.93759	0.081
43148.9376	0.081
43148.93761	0.074
43148.93762	0.066
43148.93764	0.059
43148.93765	0.096
43148.94796	0.074
43148.94797	0.066
43148.95843	0.052
43148.95845	0.081
43148.95846	0.059
43148.95847	0.081
43148.95848	0.074
43148.96879	0.074
43148.96881	0.081
43148.96882	0.059
43148.96883	0.074
43148.96884	0.074
43148.96885	0.088
43148.96886	0.052
43148.97925	0.074
43148.97926	0.088
43148.97927	0.081
43148.97928	0.059
43148.97929	0.074
43148.9793	0.066
43148.97931	0.074
43148.98962	0.066
43148.98964	0.081
43148.98965	0.081
43148.98966	0.059
43149.00012	0.074
43149.00014	0.096
43149.00015	0.103
43149.00016	0.074
43149.00017	0.074
43149.01046	0.081
43149.01047	0.052
43149.01048	0.074
43149.0105	0.059
43149.01051	0.066
43149.01052	0.066
43149.01053	0.096
43149.01054	0.081
43149.02096	0.059
43149.02097	0.081
43149.02098	0.081
43149.03129	0.059
43149.03131	0.074
43149.03132	0.066
43149.03133	0.074
43149.03134	0.066
43149.03135	0.066
43149.03136	0.088
43149.03137	0.074
43149.03139	0.081
43149.04181	0.081
43149.05212	0.081
43149.05214	0.081
43149.05215	0.059
43149.05216	0.066
43149.05217	0.052
43149.05218	0.059
43149.0522	0.066
43149.05221	0.081
43149.05222	0.096
43149.05223	0.089
43149.06254	0.059
43149.07296	0.074
43149.07297	0.096
43149.07298	0.066
43149.073	0.118
43149.07301	0.059
43149.07302	0.066
43149.07303	0.081
43149.07304	0.074
43149.07305	0.074
43149.07306	0.081
43149.08337	0.066
43149.08339	0.052
43149.0834	0.066
43149.09384	0.081
43149.09385	0.074
43149.09386	0.074
43149.09387	0.066
43149.09389	0.081
43149.0939	0.066
43149.10421	0.081
43149.10422	0.074
43149.10423	0.089
43149.10425	0.059
43149.10426	0.059
