date.time	ntu	max.spectra	sum.irr
43424.51049	1.297	56.95	283.079
43424.5105	3.498	67.638	320.978
43424.51051	2.434	63.869	317.423
43424.51053	1.609	71.432	310.28
43424.51054	3.386	64.479	323.745
43424.51055	2.057	62.809	306.571
43424.51056	3.113	66.133	333.425
43424.52087	1.041	61.882	312.803
43424.52089	1.064	53.704	270.495
43424.5209	1.105	50.471	235.449
43424.52091	0.984	53.525	263.072
43424.52092	0.984	62.627	310.879
43424.52093	0.888	51.798	256.887
43424.52094	1.505	46.763	227.242
43424.52095	0.936	47.886	215.5
43424.52097	0.944	52.786	261.679
43424.52098	1.345	64.015	295.217
43424.53129	1.809	54.045	266.602
43424.5313	1.185	52.085	254.278
43424.53131	0.832	45.646	220.635
43424.53133	1.273	45.048	219.977
43424.53134	0.888	45.982	221.138
43424.53135	0.92	47.622	229.239
43424.53136	0.928	50.943	227.666
43424.53137	1.072	52.93	261.833
43424.53138	1.481	46.097	207.424
43424.53139	1.608	48.069	230.071
43424.54171	0.832	39.689	185.667
43424.54172	1.489	45.319	223.983
43424.54173	0.928	40.134	190.305
43424.54174	1.048	43.912	206.985
43424.54175	1.368	37.578	171.526
43424.54176	0.88	40.161	184.091
43424.54178	1.048	42.265	208.86
43424.54179	0.952	43.943	209.007
43424.5418	1.088	43.165	190.562
43424.54181	0.872	35.964	167.106
43424.55212	0.648	34.424	161.345
43424.55214	0.856	33.51	156.542
43424.55215	0.872	37.92	182.919
43424.55216	1.296	33.385	163.576
43424.55217	0.896	35.811	168.635
43424.55218	0.72	37.66	182.096
43424.55219	0.68	37.25	181.34
43424.5522	0.736	33.428	156.419
43424.55222	0.976	31.405	151.921
43424.55223	1.136	31.261	150.274
43424.56254	0.992	30.391	144.958
43424.56255	0.864	33.949	158.492
43424.56256	0.752	30.19	146.154
43424.56258	0.672	31.53	150.662
43424.5626	1.128	30.716	147.001
43424.56261	0.688	33.896	155.973
43424.56262	1.88	36.309	167.869
43424.56263	0.736	30.233	141.265
